"Analytics Report"
"Month","April"
"Year","2026"
"Generated At","14 Apr 2026, 12:25 pm"

"Summary"
"Metric","Value"
"Total Revenue","237345.15"
"Total Orders","128"
"Total Items","650"

"Daily Sales"
"Day","Revenue"
"8","12754.35"
"9","42417.9"
"10","4645.2"
"11","102596.55"
"12","37655.1"
"13","34729.8"
"14","2546.25"

"Hourly Sales"
"Hour","Revenue"
"8","5353.95"
"10","33304.95"
"11","8579.55"
"12","16680.3"
"13","38200.05"
"14","12551.7"
"15","14271.6"
"16","45176.25"
"17","8374.8"
"18","32529"
"19","20650.35"
"20","1002.75"
"21","669.9"

"Payment Distribution"
"Payment Type","Revenue"
"cash","182072.1"
"card","48434.4"
"upi","6838.65"

"Order Type Distribution"
"Order Type","Revenue"
"dine-in","209163.15"
"takeaway","28182"

"Top Products"
"Product Name","Revenue"
"Mushroom Delight","53209"
"All Veggies","48836"
"Quad-Cheese","22360"
"Brocco Cheese","20227"
"Peri-Peri","17539"
"Garlic Bread","17430"
"Salted","14865"
